# y+ u+
-1.674901841405032392e-13 3.301565745371718985e-01
5.237775849208029522e-01 6.594397953712484162e-01
1.047693018805319731e+00 9.876327890919198715e-01
1.571884285261953673e+00 1.314251541658080003e+00
2.096489637443656573e+00 1.638586841229803248e+00
2.621647733454868234e+00 1.959752702492432164e+00
3.147497772522623638e+00 2.276752853680938493e+00
3.674179632189944034e+00 2.588553992648659818e+00
4.201834006792529941e+00 2.894149813099171187e+00
4.730602547482150477e+00 3.192614609327978581e+00
5.260628004067586794e+00 3.483138417633737660e+00
5.792054368945105836e+00 3.765050815669110484e+00
6.325027023399872661e+00 4.037828744562325767e+00
6.859692886564362269e+00 4.301097310095599369e+00
7.396200567327632314e+00 4.554620507133130936e+00
7.934700519498782967e+00 4.798289640593933036e+00
8.475345200535889134e+00 5.032106860060922671e+00
9.018289234161978030e+00 5.256169530227665199e+00
9.563689577202243441e+00 5.470653105238279856e+00
1.011170569098663918e+01 5.675796363765070573e+00
1.066249971767558691e+01 5.871886900943073861e+00
1.121623666188290080e+01 6.059249297764105258e+00
1.177308457798064190e+01 6.238234132647325403e+00
1.233321476349224888e+01 6.409209306029185704e+00
1.289680195899366311e+01 6.572552194326117814e+00
1.346402455496161643e+01 6.728643558378298195e+00
1.403506480603233975e+01 6.877862097584883649e+00
1.461010905314673813e+01 7.020580274072486304e+00
1.518934795409116312e+01 7.157160636943943999e+00
1.577297672295819986e+01 7.287953118836219879e+00
1.636119537908198396e+01 7.413292816135772512e+00
1.695420900603062009e+01 7.533498614240556890e+00
1.755222802126192150e+01 7.648872304954361212e+00
1.815546845708495383e+01 7.759698376838465528e+00
1.876415225359893313e+01 7.866244123803361354e+00
1.937850756431411270e+01 7.968760081931451467e+00
1.999876907519688274e+01 8.067480473671293950e+00
2.062517833791837774e+01 8.162623668087460871e+00
2.125798411812352384e+01 8.254392538501933885e+00
2.189744275957996322e+01 8.342974910755938112e+00
2.254381856510947912e+01 8.428544232943650627e+00
2.319738419524816919e+01 8.511260742415423408e+00
2.385842108562762931e+01 8.591273201731388198e+00
2.452721988412020693e+01 8.668721161424228328e+00
2.520408090883755747e+01 8.743737398141584904e+00
2.588931462812525552e+01 8.816450096468619435e+00
2.658324216374781912e+01 8.886984356627360526e+00
2.728619581851034681e+01 8.955462895607384510e+00
2.799851962961953689e+01 9.022006041568738866e+00
2.872056994913660333e+01 9.086731274444687756e+00
2.945271605293268991e+01 9.149752509324512673e+00
3.019534077960570428e+01 9.211179279091499694e+00
3.094884120087014523e+01 9.271116015468750859e+00
3.171362932497861920e+01 9.329661782179718088e+00
3.249013283477678726e+01 9.386910802622141503e+00
3.327879586203430051e+01 9.442953807299321767e+00
3.408007979972017409e+01 9.497879695848205017e+00
3.489446415391928014e+01 9.551776691764445104e+00
3.572244743709347858e+01 9.604732361125389417e+00
3.656454810438812331e+01 9.656832483712474158e+00
3.742130553466407150e+01 9.708159278785805313e+00
3.829328105789347347e+01 9.758789483489106686e+00
3.918105903048775218e+01 9.808792410091452751e+00
4.008524796002797785e+01 9.858227948399033380e+00
4.100648168072994082e+01 9.907144776756775073e+00
4.194542058079485969e+01 9.955579457633513485e+00
4.290275288255973152e+01 1.000355714937306750e+01
4.387919597606703803e+01 1.005109423083361087e+01
4.487549780629363738e+01 1.009820236866729992e+01
4.589243831382520256e+01 1.014489279982865000e+01
4.693083092819122726e+01 1.019117930653879256e+01
4.799152411239677463e+01 1.023707888541393451e+01
4.907540295635427441e+01 1.028261042389084245e+01
5.018339081593276774e+01 1.032779318173243688e+01
5.131645099315689151e+01 1.037264739310414896e+01
5.247558845168425279e+01 1.041719767600046076e+01
5.366185156003196255e+01 1.046147654067780053e+01
5.487633385306784106e+01 1.050552391860174772e+01
5.612017579998882866e+01 1.054938229918555592e+01
5.739456656433387138e+01 1.059309082698793603e+01
5.870074573845517563e+01 1.063667944917512820e+01
6.004000503125691779e+01 1.068016061206691880e+01
6.141368988382637184e+01 1.072351896813583849e+01
6.282320098276729681e+01 1.076670614903911449e+01
6.426999563552550399e+01 1.080964810371153639e+01
6.575558896569411615e+01 1.085226288051212329e+01
6.728155487912640353e+01 1.089447549258949266e+01
6.884952674359422531e+01 1.093621870871972845e+01
7.046119771564268319e+01 1.097742497024250241e+01
7.211832063814983940e+01 1.101802426631670428e+01
7.382270742087331428e+01 1.105795381059477123e+01
7.557622780394308393e+01 1.109717345828630819e+01
7.738080739087993720e+01 1.113567881353190181e+01
7.923842482337391857e+01 1.117350371315082569e+01
8.115110795491595752e+01 1.121070259788426604e+01
8.312092886470533415e+01 1.124731381457324808e+01
8.514999753744726263e+01 1.128332821447273915e+01
8.724045401926670706e+01 1.131869414125138817e+01
8.939445884572239720e+01 1.135335652781146187e+01
9.161418152579506113e+01 1.138729024679447654e+01
9.390178685696565708e+01 1.142050166477348583e+01
9.625941884263184534e+01 1.145301917663908498e+01
9.868918198598528591e+01 1.148490230256347822e+01
1.011931197462820933e+02 1.151625094434807650e+01
1.037731899666882072e+02 1.154715882260134308e+01
1.064312371203603647e+02 1.157760787361806720e+01
1.091689612760829107e+02 1.160740925490914499e+01
1.119878837595988301e+02 1.163629461848358382e+01
1.148893095844928354e+02 1.166407313077869823e+01
1.178742868493094704e+02 1.169067051678786662e+01
