# y+ u+
-1.677261248895571437e-13 1.011621875743748289e+00
1.065828345506473651e+00 2.017093861741639405e+00
2.132815347849873255e+00 3.011938479859374684e+00
3.202124341248087092e+00 3.988152769395329145e+00
4.274928051130577167e+00 4.936131271845535906e+00
5.352413381288545047e+00 5.846352874061052418e+00
6.435786312070937321e+00 6.710712600604067823e+00
7.526276948648338738e+00 7.523287910657753486e+00
8.625144760115636799e+00 8.280463073861183076e+00
9.733684052446639257e+00 8.980699617349223729e+00
1.085322972105504924e+01 9.624069058990787795e+00
1.198516333201424899e+01 1.021185128377025642e+01
1.313091958487123989e+01 1.074618355287437410e+01
1.429199321451118543e+01 1.122984677941095377e+01
1.546994639473808775e+01 1.166604551964074332e+01
1.666641671219743515e+01 1.205821933090485665e+01
1.788312578603685310e+01 1.240983218481513717e+01
1.912188861634568227e+01 1.272424017068421520e+01
2.038462375299564044e+01 1.300462507343313590e+01
2.167336438608909788e+01 1.325401970590849743e+01
2.299027046984172884e+01 1.347533972848973960e+01
2.433764200342500317e+01 1.367141329180560838e+01
2.571793360505362358e+01 1.384499190508661748e+01
2.713377052936931477e+01 1.399877598350448871e+01
2.858796629282113244e+01 1.413540290697543789e+01
3.008354208700998811e+01 1.425735645164085419e+01
3.162374817546594841e+01 1.436682132844625848e+01
3.321208748441986103e+01 1.446563067274613346e+01
3.485234161186475177e+01 1.455537677943174479e+01
3.654859949018983656e+01 1.463760468530199432e+01
3.830528894390655381e+01 1.471394442988435003e+01
4.012721138262136833e+01 1.478611036399310485e+01
4.201957985646902216e+01 1.485570400187285500e+01
4.398806067114663421e+01 1.492387957792816344e+01
4.603881870488005035e+01 1.499123725909265659e+01
4.817856647968261541e+01 1.505823148618362950e+01
5.041461690005940710e+01 1.512568085788048400e+01
5.275493936498128988e+01 1.519470512184394373e+01
5.520821865844223453e+01 1.526606694175994505e+01
5.778391559738986416e+01 1.533962686998756020e+01
6.049232782096321870e+01 1.541497079800275394e+01
6.334464828829426608e+01 1.549305009925624610e+01
6.635301794795283570e+01 1.557637002141197158e+01
6.953056757292230827e+01 1.566716771064665004e+01
7.289144183482861195e+01 1.576636988969743669e+01
7.645079623445460015e+01 1.587486743118568810e+01
8.022475444544326706e+01 1.599501786370932876e+01
8.423030994938149263e+01 1.612933216233806277e+01
8.848515163501849656e+01 1.627887279718683899e+01
9.300738858653764396e+01 1.644265721662966584e+01
9.781514519349559578e+01 1.661510385585520311e+01
1.029259950437223665e+02 1.678857758102729036e+01
1.083562025045831518e+02 1.696014935298163451e+01
1.141197468850123613e+02 1.712983611279871354e+01
1.202271186790330546e+02 1.729642223688430036e+01
1.266839038805869393e+02 1.745833233110457883e+01
1.334892130705964632e+02 1.761655792851047764e+01
1.406340664508000486e+02 1.777355669191113208e+01
1.480999085073574975e+02 1.792567591509532932e+01
1.558574833769380064e+02 1.805573648255003505e+01
1.638663335993061878e+02 1.814795839318574977e+01
1.720751667655564461e+02 1.820429670252701371e+01
1.804232486657190861e+02 1.822466557828865419e+01
2.000000000000000000e+02 1.822466557828865419e+01
