# y+ u+
2.267962909639690139e+01 1.249648840926822579e+01
2.283870857761782958e+01 1.252339049312550046e+01
2.299825683557778078e+01 1.255009857366366255e+01
2.315827836246799620e+01 1.257661605273384708e+01
2.331877768777307480e+01 1.260294626702684440e+01
2.347975937872694630e+01 1.262909248914196425e+01
2.364122804077440776e+01 1.265505792863836021e+01
2.380318831803846891e+01 1.268084573308018115e+01
2.396564489379272089e+01 1.270645898908705540e+01
2.412860249093972342e+01 1.273190072340227097e+01
2.429206587249488436e+01 1.275717390398871132e+01
2.445603984207648907e+01 1.278228144116236820e+01
2.462052924440099488e+01 1.280722618877079455e+01
2.478553896578517879e+01 1.283201094542186915e+01
2.495107393465321621e+01 1.285663845576559616e+01
2.511713912205058108e+01 1.288111141182879926e+01
2.528373954216435493e+01 1.290543245439906705e+01
2.545088025284877986e+01 1.292960417445125643e+01
2.561856635615825439e+01 1.295362911460554756e+01
2.578680299888612382e+01 1.297750977060382027e+01
2.595559537310997555e+01 1.300124859278761136e+01
2.612494871674405772e+01 1.302484798755957485e+01
2.629486831409786518e+01 1.304831031880980419e+01
2.646535949644128038e+01 1.307163790928940905e+01
2.663642764257753370e+01 1.309483304191611985e+01
2.680807817942197602e+01 1.311789796100057437e+01
2.698031658258870991e+01 1.314083487338615619e+01
2.715314837698369388e+01 1.316364594950176325e+01
2.732657913740570876e+01 1.318633332433076788e+01
2.750061448915390372e+01 1.320889909830522946e+01
2.767526010864349573e+01 1.323134533813809632e+01
2.785052172402784976e+01 1.325367407760800198e+01
2.802640511582956862e+01 1.327588731831304791e+01
2.820291611757819084e+01 1.329798703040790997e+01
2.838006061645542033e+01 1.331997515333774196e+01
2.855784455394947230e+01 1.334185359657769077e+01
2.873627392651610890e+01 1.336362424038448538e+01
2.891535478624826894e+01 1.338528893656169316e+01
2.909509324155354193e+01 1.340684950923722774e+01
2.927549545784072293e+01 1.342830775564970125e+01
2.945656765821334133e+01 1.344966544693762778e+01
2.963831612417248351e+01 1.347092432892547009e+01
2.982074719632798221e+01 1.349208612290010478e+01
3.000386727511852314e+01 1.351315252637184727e+01
3.018768282153950366e+01 1.353412521381507894e+01
3.037220035788101669e+01 1.355500583738433029e+01
