# y+ u+
-1.607712766435278394e-13 1.744940399191208247e-01
2.533541675209288746e-01 3.487579084674578556e-01
5.067252656389565901e-01 5.227825595288109195e-01
7.601302291492015861e-01 6.965434271019322887e-01
1.013586001245875501e+00 8.700009310331996426e-01
1.267109537726532675e+00 1.043100274388108595e+00
1.520717811202670244e+00 1.215771782499165621e+00
1.774427815318124324e+00 1.387931813596207542e+00
2.028256568977596430e+00 1.559483934136639549e+00
2.282221120587800467e+00 1.730320545166739610e+00
2.536338552311950600e+00 1.900324608076753297e+00
2.790625984340653787e+00 2.069371717507624275e+00
3.045100579181766687e+00 2.237332100581260530e+00
3.299779545969749872e+00 2.404072795510324045e+00
3.554680144797128793e+00 2.569459622816263167e+00
3.809819691072237724e+00 2.733359191001741628e+00
4.065215559901081299e+00 2.895640616793618616e+00
4.320885190500428408e+00 3.056177178897274249e+00
4.576846090639795861e+00 3.214847660142438723e+00
4.833115841118011957e+00 3.371537568476757230e+00
5.089712100274411455e+00 3.526140059042162100e+00
5.346652608537742601e+00 3.678556717383383301e+00
5.603955193014736658e+00 3.828698080431180539e+00
5.861637772121169654e+00 3.976484025866095617e+00
6.119718360257003553e+00 4.121843947365264604e+00
6.378215072528288232e+00 4.264716819597107467e+00
6.637146129518722404e+00 4.405051099477630849e+00
6.896529862111995257e+00 4.542804544377085918e+00
7.156384716368981991e+00 4.677943913446050317e+00
7.416729258460845742e+00 4.810444613397615754e+00
7.677582179661397888e+00 4.940290267701415772e+00
7.938962301401492283e+00 5.067472254865309722e+00
8.200888580387069027e+00 5.191989202779267565e+00
8.463380113784625181e+00 5.313846472454207159e+00
8.726456144476030019e+00 5.433055622980893951e+00
8.990136066386073210e+00 5.549633881519940637e+00
9.254439429884872226e+00 5.663603612960957712e+00
9.519385947268961701e+00 5.774991805833236569e+00
9.784995498322894392e+00 5.883829570640412676e+00
1.005128813596516935e+01 5.990151661778157610e+00
1.031828409198145202e+01 6.093996019969123878e+00
1.058600378284759813e+01 6.195403342356264886e+00
1.085446781564650287e+01 6.294416677525847881e+00
1.112369699408140811e+01 6.391081049685617188e+00
1.139371232458885608e+01 6.485443109417307284e+00
1.166453502255623498e+01 6.577550813178856259e+00
1.193618651864428415e+01 6.667453129074732310e+00
1.220868846522199114e+01 6.755199769687754596e+00
1.248206274291408313e+01 6.840840949610206501e+00
1.275633146726681844e+01 6.924427167586934218e+00
1.303151699553536957e+01 7.006009011067455994e+00
1.330764193359651415e+01 7.085636982557550922e+00
1.358472914299067114e+01 7.163361345755714815e+00
1.386280174809766130e+01 7.239231990583817833e+00
1.414188314344984221e+01 7.313298315298516705e+00
1.442199700118703909e+01 7.385609124671044690e+00
1.470316727865868778e+01 7.456212542629601536e+00
1.498541822617525554e+01 7.525155938338713213e+00
1.526877439491639166e+01 7.592485864318926581e+00
1.555326064499854333e+01 7.658248005633925715e+00
1.583890215370720611e+01 7.722487138943375129e+00
1.612572442389968330e+01 7.785247100524144592e+00
1.641375329258226756e+01 7.846570762217385031e+00
1.670301493966757178e+01 7.906500014471038007e+00
1.699353589691719435e+01 7.965075755552490477e+00
1.728534305707537655e+01 8.022337886155522568e+00
1.757846368319924224e+01 8.078325308572438246e+00
1.787292541819071801e+01 8.133075929721901076e+00
1.816875629453695851e+01 8.186626667313843697e+00
1.846598474426440362e+01 8.239013458548731350e+00
1.876463960911363671e+01 8.290271270783167168e+00
1.906475015094020620e+01 8.340434113716701958e+00
1.936634606234834166e+01 8.389535052723692488e+00
1.966945747756567542e+01 8.437606223080496903e+00
1.997411498356255066e+01 8.484678844923569940e+00
2.028034963142624747e+01 8.530783238888970388e+00
2.058819294799507560e+01 8.575948842457108867e+00
2.089767694776091034e+01 8.620204227102123085e+00
2.120883414504677233e+01 8.663577116369651776e+00
2.152169756646780385e+01 8.706094405010512460e+00
2.183630076368333661e+01 8.747782179247332479e+00
2.215267782644797734e+01 8.788665738177332543e+00
2.247086339597000659e+01 8.828769616209317661e+00
2.279089267858590162e+01 8.868117606332013736e+00
2.311280145975918288e+01 8.906732783923164476e+00
2.343662611841264010e+01 8.944637530760555677e+00
2.376240364160330287e+01 8.981853558884798971e+00
2.409017163954871776e+01 9.018401933990345398e+00
2.441996836101484902e+01 9.054303098064258037e+00
2.475183270907474054e+01 9.089576891043240181e+00
2.508580425724851182e+01 9.124242571304129967e+00
2.542192326603339936e+01 9.158318834847568368e+00
2.576023069983606462e+01 9.191823833083832440e+00
2.610076824431634890e+01 9.224775189200197900e+00
2.644357832415415643e+01 9.257190013188829170e+00
2.678870412124953049e+01 9.289084915745410953e+00
2.713618959336752923e+01 9.320476021399050737e+00
2.748607949324062716e+01 9.351378981375489730e+00
2.783841938813715089e+01 9.381808986788465532e+00
2.819325567991128878e+01 9.411780782757556807e+00
2.855063562554363443e+01 9.441308683936696866e+00
2.891060735818625815e+01 9.470406591705913257e+00
2.927321990872467694e+01 9.499088012961736993e+00
2.963852322786746996e+01 9.527366080109148427e+00
3.000656820877921049e+01 9.555253571587032368e+00
3.037740671026685035e+01 9.582762932121662303e+00
3.075109158053469827e+01 9.609906291925417676e+00
3.112767668151959199e+01 9.636695484220137331e+00
3.150721691382063128e+01 9.663142060698033831e+00
3.188976824223646034e+01 9.689257304761108358e+00
3.227538772192365712e+01 9.715052242545581862e+00
3.266413352518908653e+01 9.740537651843128586e+00
3.305606496893161506e+01 9.765724069120258477e+00
3.345124254274377762e+01 9.790621794960644664e+00
3.384972793768972110e+01 9.815240898408903902e+00
3.425158407577150399e+01 9.839591220815830042e+00
3.465687514009665193e+01 9.863682379805215561e+00
3.506566660576115169e+01 9.887523773897267887e+00
3.547802527146026819e+01 9.911124588215010078e+00
3.589401929183952689e+01 9.934493801666439694e+00
3.631371821059921245e+01 9.957640196055272952e+00
3.673719299436301355e+01 9.980572367610038853e+00
3.716451606732346136e+01 1.000329874124361851e+01
3.759576134667455705e+01 1.002582758732471646e+01
3.803100427884189827e+01 1.004816703989611781e+01
3.847032187652072821e+01 1.007032511432885080e+01
3.891379275652896297e+01 1.009230972165457985e+01
3.936149717848523011e+01 1.011412867651259617e+01
3.981351708431753167e+01 1.013578969589812218e+01
4.026993613860759069e+01 1.015730038670807467e+01
4.073083976977760301e+01 1.017866822137147409e+01
4.119631521211932323e+01 1.019990050247409030e+01
4.166645154866866108e+01 1.022100431900007322e+01
4.214133975492470086e+01 1.024198649828583640e+01
4.262107274341035890e+01 1.026285355864192006e+01
4.310574540906952734e+01 1.028361166753675526e+01
4.359545467549444453e+01 1.030426660915080639e+01
4.409029954197185219e+01 1.032482376322548845e+01
4.459038113133554759e+01 1.034528809499598445e+01
4.509580273860922972e+01 1.036566415428713306e+01
4.560666988041912617e+01 1.038595608107527823e+01
4.612309034515239858e+01 1.040616761512289301e+01
4.664517424383375754e+01 1.042630210847603323e+01
4.717303406168633018e+01 1.044636254122352526e+01
4.770678471033950530e+01 1.046635154230032683e+01
4.824654358063934012e+01 1.048627141750690406e+01
4.879243059601191135e+01 1.050612418579418694e+01
4.934456826632263216e+01 1.052591162251635382e+01
4.990308174216881554e+01 1.054563530601036803e+01
5.046809886953245439e+01 1.056529666291877945e+01
5.103975024471374411e+01 1.058489700851481352e+01
5.161816926945656547e+01 1.060443757991772173e+01
5.220349220616500219e+01 1.062391956115921410e+01
5.279585823310286230e+01 1.064334409935967507e+01
5.339540949945227055e+01 1.066271231193269564e+01
5.400229118009868756e+01 1.068202528679289109e+01
5.461665152999345452e+01 1.070128408051552604e+01
5.523864193793193067e+01 1.072048972168294867e+01
5.586841697956873531e+01 1.073964322714083330e+01
5.650613446947487262e+01 1.075874563756191371e+01
5.715195551202382518e+01 1.077779807583050697e+01
5.780604455087378568e+01 1.079680182743022065e+01
5.846856941679223496e+01 1.081575843699089390e+01
5.913970137354706935e+01 1.083466981105077132e+01
5.981961516156484038e+01 1.085353831486656162e+01
6.050848903903022347e+01 1.087236684993104774e+01
6.120650482007399518e+01 1.089115889787333025e+01
6.191384790966889540e+01 1.090991851738726304e+01
6.263070733482011576e+01 1.092865028727619858e+01
6.335727577160454160e+01 1.094735920167547860e+01
6.409374956758077246e+01 1.096605053904598748e+01
6.484032875905056414e+01 1.098472973750532766e+01
6.559721708261673712e+01 1.100340230927878693e+01
6.636462198044105776e+01 1.102207381443753853e+01
6.714275459856060024e+01 1.104074989198086243e+01
6.793182977757638241e+01 1.105943632288020417e+01
6.873206603498186951e+01 1.107813908582349782e+01
6.954368553834582656e+01 1.109686437083302302e+01
7.036691406851362274e+01 1.111561853713066483e+01
7.120198097193819819e+01 1.113440802431132504e+01
7.204911910119173513e+01 1.115323923266839934e+01
7.290856474265518727e+01 1.117211837806368102e+01
7.378055753031975428e+01 1.119105131535748043e+01
7.466534034457507119e+01 1.121004332703663131e+01
7.556315919479591514e+01 1.122909889089735636e+01
7.647426308447539611e+01 1.124822146889585994e+01
7.739890385758967284e+01 1.126741339351562310e+01
7.833733602481540004e+01 1.128667593755606013e+01
7.928981656815878409e+01 1.130600959305089503e+01
8.025660472249266775e+01 1.132541446816360597e+01
8.123796173243921714e+01 1.134489062942075144e+01
8.223415058298080282e+01 1.136443824667037106e+01
8.324543570212648547e+01 1.138405751125732479e+01
8.427208263391861465e+01 1.140374839471395774e+01
8.531435768001979625e+01 1.142351033038183417e+01
8.637252750809166457e+01 1.144334185715251451e+01
8.744685872515113090e+01 1.146324023806751491e+01
8.853761741408239061e+01 1.148320110554736928e+01
8.964506863148052673e+01 1.150321825390221342e+01
9.076947586502505771e+01 1.152328370299695770e+01
9.191110044861433437e+01 1.154338806370795467e+01
9.307020093354940116e+01 1.156352113732883957e+01
9.424703241413398302e+01 1.158367264462637003e+01
9.544184580616342828e+01 1.160383294815508215e+01
9.665488707690747106e+01 1.162399357983916026e+01
9.788639642535848395e+01 1.164414741776665352e+01
9.913660741171712232e+01 1.166428848304537347e+01
1.004057460353228208e+02 1.168441138355305320e+01
1.016940297605201380e+02 1.170451039378611746e+01
1.030016664902702530e+02 1.172457823845245528e+01
1.043288534876905516e+02 1.174460486258663039e+01
1.056757762461209893e+02 1.176457657125867584e+01
1.070426073087882770e+02 1.178447579598741157e+01
1.084295050396613789e+02 1.180428148704201696e+01
1.098366123476673408e+02 1.182396990680526194e+01
1.112640553670707959e+02 1.184351561824592203e+01
